case_id,status,message,top_prompt_family,top_prompt_prior,queried_chemsys,raw_docs_retrieved,accepted_docs_after_request_acceptance,unique_docs_after_request_acceptance,rejected_by_retrieval_acceptance,rejected_by_family,rejected_by_complexity_gate,final_candidate_count,surviving_family_mix_json,prompt_family_alignment_warning,warnings_json
hot_section_creep_am,success,Candidates retrieved and filtered successfully.,Ni-based superalloy,1.0,Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al; Ni-Cr-Co-Ti; Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Co-Cr-Ni-W; Mo-Nb-Ti; Mo-Nb-Ta; Nb-Ti-Zr,210,25,16,185,0,0,9,"{""Ni-based superalloy"": 9}",,"[""No Materials Project records found for exact chemsys Ni-Cr-Co or any configured recovery strategy."", ""Materials Project returned records for Co-Cr-W, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-Ni, but none survived request-aware acceptance."", ""No Materials Project records found for exact chemsys Co-Ni-W or any configured recovery strategy."", ""Materials Project returned records for Co-Cr-Mo, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-Ni-W, but none survived request-aware acceptance.""]"
lightweight_strength_to_weight,success,Candidates retrieved and filtered successfully.,Ti alloy,1.0,Ti-Al-V; Ti-Al-Mo; Ti-Al-Nb; Ti-V-Nb; Ti-Al-V-Mo; Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti,27,27,18,0,0,0,18,"{""Ni-based superalloy"": 9, ""Ti alloy"": 9}",,"[""No Materials Project records found for exact chemsys Ni-Cr-Co or any configured recovery strategy.""]"
wear_hot_corrosion,success,Candidates retrieved and filtered successfully.,Co-based alloy,1.0,Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Co-Cr-Ni-W; Co-Cr-W-Ni; Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al,235,15,9,220,0,0,9,"{""Ni-based superalloy"": 9}","Prompt scope favoured Co-based alloy, but no candidates from that family survived baseline retrieval/acceptance. The displayed results may therefore be dominated by fallback families rather than the intended design direction.","[""Materials Project returned records for Co-Cr-W, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-Ni, but none survived request-aware acceptance."", ""No Materials Project records found for exact chemsys Co-Ni-W or any configured recovery strategy."", ""Materials Project returned records for Co-Cr-Mo, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-Ni-W, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-W-Ni, but none survived request-aware acceptance."", ""No Materials Project records found for exact chemsys Ni-Cr-Co or any configured recovery strategy."", ""Prompt scope favoured Co-based alloy, but no candidates from that family survived baseline retrieval/acceptance. The displayed results may therefore be dominated by fallback families rather than the intended design direction.""]"
am_complex_geometry_creep,success,Candidates retrieved and filtered successfully.,Ni-based superalloy,0.73,Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al; Ni-Cr-Co-Ti; Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Mo-Nb-Ti; Mo-Nb-Ta; Nb-Ti-Zr,160,25,16,135,0,0,9,"{""Ni-based superalloy"": 9}",,"[""No Materials Project records found for exact chemsys Ni-Cr-Co or any configured recovery strategy."", ""Materials Project returned records for Co-Cr-W, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-Ni, but none survived request-aware acceptance."", ""No Materials Project records found for exact chemsys Co-Ni-W or any configured recovery strategy."", ""Materials Project returned records for Co-Cr-Mo, but none survived request-aware acceptance.""]"
certification_mature_conventional,success,Candidates retrieved and filtered successfully.,Ti alloy,0.54,Ti-Al-V; Ti-Al-Mo; Ti-Al-Nb; Ti-V-Nb; Ti-Al-V-Mo; Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Fe-Ni-Cr; Fe-Ni-Cr-Al; Fe-Ni-Cr-Co,33,27,18,6,0,0,18,"{""Ni-based superalloy"": 9, ""Ti alloy"": 9}",,"[""No Materials Project records found for exact chemsys Ni-Cr-Co or any configured recovery strategy."", ""Materials Project returned records for Fe-Ni-Cr, but none survived request-aware acceptance."", ""Materials Project returned records for Fe-Ni-Cr-Al, but none survived request-aware acceptance."", ""Materials Project returned records for Fe-Ni-Cr-Co, but none survived request-aware acceptance.""]"
extreme_temperature_refractory,success,Candidates retrieved and filtered successfully.,Ni-based superalloy,0.88,Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al; Ni-Cr-Co-Ti; Mo-Nb-Ti; Mo-Nb-Ta; Nb-Ti-Zr; Mo-Nb-Ti-Zr; Mo-Nb-Ta-Ti; Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Co-Cr-Ni-W,214,29,16,185,0,0,16,"{""Ni-based superalloy"": 9, ""Refractory alloy concept"": 7}",,"[""No Materials Project records found for exact chemsys Ni-Cr-Co or any configured recovery strategy."", ""Materials Project returned records for Co-Cr-W, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-Ni, but none survived request-aware acceptance."", ""No Materials Project records found for exact chemsys Co-Ni-W or any configured recovery strategy."", ""Materials Project returned records for Co-Cr-Mo, but none survived request-aware acceptance."", ""Materials Project returned records for Co-Cr-Ni-W, but none survived request-aware acceptance.""]"
