case_id,temperature_c,am_preferred,profile,top_prompt_family,top_prompt_prior,allowed_families,family_priors_json,queried_chemsys,query_count,top_family_represented_in_queries
hot_section_creep_am,850,True,Balanced,Ni-based superalloy,1.0,Ni-based superalloy; Co-based alloy; Refractory alloy concept,"{""Co-based alloy"": 0.64, ""Fe-Ni alloy"": 0.22, ""Ni-based superalloy"": 1.0, ""Refractory alloy concept"": 0.54, ""Ti alloy"": 0.2}",Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al; Ni-Cr-Co-Ti; Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Co-Cr-Ni-W; Mo-Nb-Ti; Mo-Nb-Ta; Nb-Ti-Zr,14,True
lightweight_strength_to_weight,450,False,Balanced,Ti alloy,1.0,Ti alloy; Ni-based superalloy,"{""Co-based alloy"": 0.22, ""Fe-Ni alloy"": 0.33, ""Ni-based superalloy"": 0.46, ""Refractory alloy concept"": 0.08, ""Ti alloy"": 1.0}",Ti-Al-V; Ti-Al-Mo; Ti-Al-Nb; Ti-V-Nb; Ti-Al-V-Mo; Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti,9,True
wear_hot_corrosion,700,False,Performance-first,Co-based alloy,1.0,Co-based alloy; Ni-based superalloy,"{""Co-based alloy"": 1.0, ""Fe-Ni alloy"": 0.22, ""Ni-based superalloy"": 0.56, ""Refractory alloy concept"": 0.32, ""Ti alloy"": 0.24}",Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Co-Cr-Ni-W; Co-Cr-W-Ni; Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al,11,True
am_complex_geometry_creep,825,True,AM route-first,Ni-based superalloy,0.73,Ni-based superalloy; Co-based alloy; Refractory alloy concept,"{""Co-based alloy"": 0.44, ""Fe-Ni alloy"": 0.22, ""Ni-based superalloy"": 0.73, ""Refractory alloy concept"": 0.38, ""Ti alloy"": 0.32}",Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al; Ni-Cr-Co-Ti; Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Mo-Nb-Ti; Mo-Nb-Ta; Nb-Ti-Zr,13,True
certification_mature_conventional,550,False,Cost & sustainability-aware,Ti alloy,0.54,Ti alloy; Ni-based superalloy; Fe-Ni alloy,"{""Co-based alloy"": 0.34, ""Fe-Ni alloy"": 0.37, ""Ni-based superalloy"": 0.46, ""Refractory alloy concept"": 0.26, ""Ti alloy"": 0.54}",Ti-Al-V; Ti-Al-Mo; Ti-Al-Nb; Ti-V-Nb; Ti-Al-V-Mo; Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Fe-Ni-Cr; Fe-Ni-Cr-Al; Fe-Ni-Cr-Co,12,True
extreme_temperature_refractory,1050,False,Performance-first,Ni-based superalloy,0.88,Ni-based superalloy; Refractory alloy concept; Co-based alloy,"{""Co-based alloy"": 0.58, ""Fe-Ni alloy"": 0.08, ""Ni-based superalloy"": 0.88, ""Refractory alloy concept"": 0.68, ""Ti alloy"": 0.06}",Ni-Cr-Al; Ni-Cr-Co; Ni-Co-Al; Ni-Cr-Ti; Ni-Cr-Co-Al; Ni-Cr-Co-Ti; Mo-Nb-Ti; Mo-Nb-Ta; Nb-Ti-Zr; Mo-Nb-Ti-Zr; Mo-Nb-Ta-Ti; Co-Cr-W; Co-Cr-Ni; Co-Ni-W; Co-Cr-Mo; Co-Cr-Ni-W,16,True
