case_id,application_prompt,operating_temperature,am_preferred,scenario_profile,allowed_material_families,weights_json,decision_factor_weights_json,notes
baseline_hot_am,Design a material for a hot aviation component operating at 850°C where creep is critical and additive manufacturing is preferred.,850,True,Balanced,Ni-based superalloy; Co-based alloy; Refractory alloy concept,"{""creep_priority"": 0.55, ""toughness_priority"": 0.25, ""temperature_priority"": 0.3, ""cost_priority"": 0.15, ""sustainability_priority"": 0.2}","{""through_life_cost"": 0.24, ""sustainability"": 0.22, ""manufacturability"": 0.22, ""route_suitability"": 0.2, ""supply_risk"": 0.12}",High-temperature use case inferred.; Aviation context inferred.; Creep treated as primary requirement.; Operating temperature suggests elevated temperature screening.
hot_conventional,Design a material for a hot aviation component operating at 850°C where creep is critical and conventional manufacturing is preferred.,850,False,Balanced,Ni-based superalloy; Co-based alloy; Refractory alloy concept,"{""creep_priority"": 0.55, ""toughness_priority"": 0.25, ""temperature_priority"": 0.3, ""cost_priority"": 0.15, ""sustainability_priority"": 0.2}","{""through_life_cost"": 0.24, ""sustainability"": 0.22, ""manufacturability"": 0.22, ""route_suitability"": 0.2, ""supply_risk"": 0.12}",High-temperature use case inferred.; Aviation context inferred.; Creep treated as primary requirement.; Operating temperature suggests elevated temperature screening.
cost_sustainability,Design a material for a component operating at 750°C where cost and sustainability matter almost as much as temperature capability.,750,False,Cost & sustainability-aware,Ni-based superalloy; Co-based alloy; Fe-Ni alloy; Ti alloy; Refractory alloy concept,"{""creep_priority"": 0.25, ""toughness_priority"": 0.2, ""temperature_priority"": 0.25, ""cost_priority"": 0.15, ""sustainability_priority"": 0.15}","{""through_life_cost"": 0.32, ""sustainability"": 0.3, ""manufacturability"": 0.16, ""route_suitability"": 0.1, ""supply_risk"": 0.12}",Default engineering priorities applied.
lightweight_ti,Design a lightweight aerospace material for a component operating at 350°C where strength-to-weight ratio is critical and additive manufacturing is preferred.,350,True,Balanced,Ni-based superalloy; Co-based alloy; Fe-Ni alloy; Ti alloy; Refractory alloy concept,"{""creep_priority"": 0.25, ""toughness_priority"": 0.25, ""temperature_priority"": 0.25, ""cost_priority"": 0.15, ""sustainability_priority"": 0.4}","{""through_life_cost"": 0.24, ""sustainability"": 0.22, ""manufacturability"": 0.22, ""route_suitability"": 0.2, ""supply_risk"": 0.12}",Lightweight use case inferred.; Operating temperature suggests a less extreme thermal regime.
refractory_extreme,Design a material for an aerospace component operating at 1100°C where extreme temperature capability matters more than cost.,1100,False,Performance-first,Ni-based superalloy; Co-based alloy; Refractory alloy concept,"{""creep_priority"": 0.35, ""toughness_priority"": 0.2, ""temperature_priority"": 0.3, ""cost_priority"": 0.15, ""sustainability_priority"": 0.15}","{""through_life_cost"": 0.18, ""sustainability"": 0.14, ""manufacturability"": 0.26, ""route_suitability"": 0.24, ""supply_risk"": 0.18}",Operating temperature suggests elevated temperature screening.
corrosion_wear,"Design a material for a hot aerospace component operating at 900°C where oxidation resistance, hot corrosion resistance, and wear resistance matter.",900,False,Balanced,Ni-based superalloy; Co-based alloy; Refractory alloy concept,"{""creep_priority"": 0.4, ""toughness_priority"": 0.2, ""temperature_priority"": 0.3, ""cost_priority"": 0.15, ""sustainability_priority"": 0.15}","{""through_life_cost"": 0.24, ""sustainability"": 0.22, ""manufacturability"": 0.22, ""route_suitability"": 0.2, ""supply_risk"": 0.12}",High-temperature use case inferred.; Operating temperature suggests elevated temperature screening.
am_channels,Design a material for a lightweight aerospace part with internal channels operating at 650°C where additive manufacturing is strongly preferred.,650,True,AM route-first,Ni-based superalloy; Co-based alloy; Fe-Ni alloy; Ti alloy; Refractory alloy concept,"{""creep_priority"": 0.25, ""toughness_priority"": 0.25, ""temperature_priority"": 0.25, ""cost_priority"": 0.15, ""sustainability_priority"": 0.4}","{""through_life_cost"": 0.16, ""sustainability"": 0.18, ""manufacturability"": 0.24, ""route_suitability"": 0.3, ""supply_risk"": 0.12}",Lightweight use case inferred.
